,Unnamed: 0.1,Unnamed: 0,Unnamed: 6,Star_name,Distance,Mass,Radius,Gravity
1,1,1,1,2MASS J00040288-6410358,192.0,0.018137172,0.1675036899999999,177.2955327030963
3,3,3,3,2MASS J00274197+0503417,236.0,0.029592228,0.1479787199999999,370.6432628229714
14,14,14,14,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,188.93802326300383
19,19,19,19,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,188.93802326300383
20,20,20,20,2MASS J02411151-0326587 [de],152.0,0.025773876,0.1448958299999999,336.70141347991955
24,24,24,24,2MASS J02535980+3206373,184.0,0.06204822,0.1952496999999999,446.40140770557906
29,29,29,29,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,206.93362261908166
85,85,85,85,TWA 28,180.0,0.034365168,0.24560357,156.25218516002334
86,86,86,86,Cha 110913-773444,163.0,0.007636704,0.1849733999999999,61.2159195372133
92,92,92,92,2MASS J12074836-3900043,217.0,0.016227996,0.17572473,144.1372066665686
95,95,95,95,TWA 29,262.0,0.001909176,2.569075,0.07933583172022834
